Type,id,Date,Distance,Calories,Minutes,HR_avg,HR_max,Speed_avg,Speed_max
cycling,1,17-April-19,42.98,"1,842.00",90,--,--,28.7,38.7
cycling,2,19-April-19,31.5,"1,188.00",68,--,--,27.7,39.6
cycling,3,20-April-19,55.67,"2,477.00",109,--,--,30.6,41.6
cycling,4,22-April-19,46.62,"1,474.00",97,154,172,28.7,39
cycling,5,24-April-19,45.47,"1,396.00",89,155,181,30.6,44.1
cycling,6,26-April-19,30.65,"1,012.00",61,162,178,30.1,46.3
cycling,7,27-April-19,53,"1,628.00",129,150,174,24.6,72.3
cycling,8,28-April-19,52.91,"1,799.00",125,155,176,25.3,74.8
cycling,9,30-April-19,45.5,"1,468.00",89,158,171,30.5,37
cycling,10,1-May-19,45.55,"1,537.00",86,162,174,31.7,42.9
cycling,11,3-May-19,30.65,"1,070.00",60,157,165,30.6,39.7
cycling,12,4-May-19,59.84,"1,976.00",105,164,178,34,47.7
cycling,13,5-May-19,74.71,"2,394.00",144,156,172,31.5,41.4
cycling,14,19-May-19,45.24,"1,568.00",84,163,177,32,42
cycling,15,22-May-19,31.14,"1,153.00",59,168,180,31.4,41.7
cycling,16,24-May-19,45.23,"1,719.00",88,168,180,30.5,38.4
cycling,17,25-May-19,46.24,"1,932.00",107,162,179,25.8,74.1
cycling,18,26-May-19,56.98,"2,217.00",131,159,179,26.1,68.3
