id,country,grape,nr
0,Argentina,Barbera,1
1,Argentina,Bonarda,10
2,Argentina,Cabernet Franc,23
3,Argentina,Cabernet Sauvignon,72
4,Argentina,Chardonnay,43
5,Argentina,Chenin Blanc,1
6,Argentina,Corvina,2
7,Argentina,Garnacha,3
8,Argentina,Malbec,147
9,Argentina,Merlot,15
10,Argentina,Petit Verdot,5
11,Argentina,Pinot Noir,12
12,Argentina,Primitivo,1
13,Argentina,Riesling,12
14,Argentina,Sauvignon Blanc,38
15,Argentina,Shiraz/Syrah,76
16,Argentina,Tannat,2
17,Argentina,Tempranillo,1
18,Argentina,Torrontés,9
19,Argentina,Viognier,11
20,Australia,Cabernet Sauvignon,13
21,Australia,Chardonnay,6
22,Australia,Dolcetto,2
23,Australia,Gewürztraminer,2
24,Australia,Grenache,1
25,Australia,Merlot,2
26,Australia,Riesling,2
27,Australia,Sauvignon Blanc,1
28,Australia,Shiraz/Syrah,18
29,Australia,Sémillon,2
30,Australia,Tempranillo,1
31,Brazil,Alicante Bouschet,2
32,Brazil,Alvarinho,2
33,Brazil,Ancellotta,2
34,Brazil,Cabernet Franc,2
35,Brazil,Cabernet Sauvignon,17
36,Brazil,Chardonnay,9
37,Brazil,Gamay,2
38,Brazil,Gewürztraminer,1
39,Brazil,Malbec,2
40,Brazil,Merlot,34
41,Brazil,Montepulciano,1
42,Brazil,Petit Verdot,2
43,Brazil,Pinot Grigio,2
44,Brazil,Pinot Noir,2
45,Brazil,Riesling,2
46,Brazil,Sauvignon Blanc,1
47,Brazil,Shiraz/Syrah,4
48,Brazil,Tannat,5
49,Brazil,Tempranillo,1
50,Brazil,Teroldego,2
51,Brazil,Touriga Nacional,1
52,Brazil,Viognier,2
53,Brazil,"Winery
Viapiana",1
54,Chile,Cabernet Franc,10
55,Chile,Cabernet Sauvignon,114
56,Chile,Carignan,12
57,Chile,Carménère,86
58,Chile,Chardonnay,38
59,Chile,Chenin Blanc,10
60,Chile,Cinsault,8
61,Chile,Côt,1
62,Chile,Gewürztraminer,1
63,Chile,Malbec,48
64,Chile,Merlot,47
65,Chile,Pais,1
66,Chile,Petit Verdot,19
67,Chile,Petite Sirah,2
68,Chile,Pinot Noir,52
69,Chile,Riesling,30
70,Chile,Sauvignon Blanc,55
71,Chile,Sauvignon Gris,2
72,Chile,Shiraz/Syrah,39
73,Chile,Tinta del Pais,1
74,Chile,Torrontés,1
75,Chile,Touriga Nacional,1
76,Chile,"Winery
Arboleda",2
77,France,Cabernet Franc,65
78,France,Cabernet Sauvignon,77
79,France,Carignan,13
80,France,Chardonnay,34
81,France,Cinsault,5
82,France,Cinsaut,2
83,France,Colombard,3
84,France,Counoise,1
85,France,Gamay,7
86,France,Gamay Noir,2
87,France,Gewürztraminer,31
88,France,Grenache,66
89,France,Grenache Blanc,4
90,France,Macabeo,1
91,France,Malbec,12
92,France,Marsanne,6
93,France,Melon,1
94,France,Melon de Bourgogne,1
95,France,Merlot,77
96,France,Mourvedre,35
97,France,Muscardin,2
98,France,Muscat Blanc,2
99,France,Petit Verdot,9
100,France,Picardan,1
101,France,Pinot Blanc,2
102,France,Pinot Gris,2
103,France,Pinot Noir,59
104,France,Piquepoul Blanc,2
105,France,Poulsard,1
106,France,Riesling,9
107,France,Rollo,2
108,France,Roussanne,6
109,France,Sauvignon Blanc,23
110,France,Shiraz/Syrah,62
111,France,Sylvaner,2
112,France,Sémillon,4
113,France,Trousseau,1
114,France,Ugni blanc,2
115,France,Vaccareze,1
116,France,Vermentino,1
117,France,Viognier,14
118,France,"Winery
Cheval Noir",27
119,France,"Winery
Château Roquetaillade La Grange",2
120,Germany,Müller-Thurgau,27
121,Germany,Pinot Gris,2
122,Germany,Riesling,3
123,Germany,Rivaner,1
124,Germany,Spätburgunder,4
125,Greece,Agiorgitiko,2
126,Greece,Assyrtiko,2
127,Hungary,Furmint,5
128,Hungary,Kékfrankos,1
129,Italy,Aglianico,17
130,Italy,Alicante Bouschet,3
131,Italy,Ansonica,3
132,Italy,Arneis,4
133,Italy,Barbera,27
134,Italy,Bonarda,2
135,Italy,Bovale,1
136,Italy,Cabernet Franc,11
137,Italy,Cabernet Sauvignon,58
138,Italy,Canaiolo Blanco,3
139,Italy,Canaiolo Nero,21
140,Italy,Cannonau,1
141,Italy,Carignan,21
142,Italy,Catarratto Bianco,3
143,Italy,Chardonnay,17
144,Italy,Ciliegiolo,3
145,Italy,Colorino del Valdarno,5
146,Italy,Cortese,9
147,Italy,Corvina,41
148,Italy,Corvina Veronese,7
149,Italy,Corvinone,28
150,Italy,Croatina,4
151,Italy,Dolcetto,9
152,Italy,Fiano,1
153,Italy,Forsellina,2
154,Italy,Frappato,1
155,Italy,Friulano,9
156,Italy,Furmint,1
157,Italy,Garganega,2
158,Italy,Gewürztraminer,2
159,Italy,Grecanico,2
160,Italy,Grechetto,2
161,Italy,Greco,1
162,Italy,Grenache,1
163,Italy,Grillo,28
164,Italy,Inzolia,4
165,Italy,Kerner,1
166,Italy,Lagrein,2
167,Italy,Malvasia,8
168,Italy,Malvasia Nera,10
169,Italy,Mammolo,1
170,Italy,Mayolet,1
171,Italy,Merlot,59
172,Italy,Molinara,16
173,Italy,Montepulciano,28
174,Italy,Moscato,2
175,Italy,Moscato Giallo,1
176,Italy,Mourvedre,1
177,Italy,Nascetta,1
178,Italy,Nebbiolo,57
